bdubsz,me7a.,hailstorm_,lyclipz,tilly_7,_dev.,deus_fps,space_rock,joachjua,.joeyx,blurski,tyottoyt,zyko4l,_qoon,nitsu_,rstwolf11,redicendia,drewspark,k1ilaa,icariuss,f1ash1,taameme,kingfred,_michaf,hiddenuser,bubbles999x,VCT Predictions Bot,urjokingright,architect_aim,axon319,victoryxh,8bitducky,moraro,coconut9832,faceneck,MatchIDs
3.464023183354757e+17,4.02090282092331e+17,5.658858285139231e+17,5.147959753244672e+17,4.025710146740552e+17,2.6512346422090138e+17,1.8586513048600576e+17,3.355857374937088e+17,4.2785508129203814e+17,4.79829455150252e+17,2.4938941606435226e+17,2.663745565103227e+17,3.159375780399022e+17,4.422847542853632e+17,1.5680128844365824e+17,7.16019426339586e+17,3.765782810566328e+17,9.363332172906619e+17,8.269576684889702e+17,6.939301502947165e+17,6.298267633123328e+17,6.08605840370434e+17,6.344629247729992e+17,4.778860270513029e+17,4.3569398917863834e+17,7.117605624422072e+17,1.0886156495358527e+18,1.1259980421186397e+18,5.281575483903836e+17,4.0071308423213875e+17,6.340388539545682e+17,3.910338811736883e+17,4.702020774157353e+17,7.464350962734858e+17,6.500892360572928e+17,UserIDs
G2 Esports,Team Heretics,G2 Esports,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Team Heretics,G2 Esports,G2 Esports,Team Heretics,Team Heretics,G2 Esports,Team Heretics,Team Heretics,Team Heretics,Team Heretics,G2 Esports,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Team Heretics,N/A,Team Heretics,Team Heretics,G2 Esports,Team Heretics,Team Heretics,G2 Esports,Team Heretics,Team Heretics,MATCH 1
