urjokingright,kingfred,buffx4,nitsu_,space_rock,3nvy_z,deus_fps,taameme,8bitducky,VCT Predictions Bot,f1ash1,.joeyx,huntice,hailstorm_,lyclipz,me7a.,beast6217,coconut9832,tilly_7,axon319,_michaf,tyottoyt,vainfriggus,drewspark,bdubsz,redicendia,abyukio,zyko4l,p_ine,joachjua,blurski,faceneck,MatchIDs
1.1259980421186397e+18,6.344629247729992e+17,5.2431690295751475e+17,1.5680128844365824e+17,3.355857374937088e+17,8.269576684889702e+17,1.8586513048600576e+17,6.08605840370434e+17,3.910338811736883e+17,1.0886156495358528e+18,6.298267633123328e+17,4.79829455150252e+17,3.6315646938814874e+17,5.658858285139231e+17,5.147959753244672e+17,4.02090282092331e+17,4.388718328049828e+17,7.464350962734858e+17,4.025710146740552e+17,4.0071308423213875e+17,4.778860270513029e+17,2.663745565103227e+17,5.102425281429504e+17,9.363332172906619e+17,3.464023183354757e+17,3.765782810566328e+17,3.2060352816060826e+17,3.159375780399022e+17,2.9792747490010726e+17,4.2785508129203814e+17,2.4938941606435226e+17,6.500892360572928e+17,UserIDs
BBL Esports,BBL Esports,BBL Esports,BBL Esports,BBL Esports,BBL Esports,BBL Esports,GIANTX,BBL Esports,,BBL Esports,BBL Esports,BBL Esports,BBL Esports,BBL Esports,BBL Esports,BBL Esports,BBL Esports,BBL Esports,BBL Esports,BBL Esports,BBL Esports,,BBL Esports,BBL Esports,BBL Esports,BBL Esports,BBL Esports,BBL Esports,BBL Esports,GIANTX,BBL Esports,MATCH 1
Team Heretics,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Karmine Corp,Team Heretics,Karmine Corp,Team Heretics,,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Team Heretics,,Karmine Corp,Team Heretics,Team Heretics,Karmine Corp,Team Heretics,Team Heretics,Team Heretics,Karmine Corp,Team Heretics,MATCH 2
Team Vitality,Team Vitality,Team Vitality,Team Vitality,Team Vitality,Team Vitality,Team Vitality,Team Vitality,Team Vitality,,Team Vitality,Team Vitality,Team Vitality,KOI,Team Vitality,Team Vitality,Team Vitality,Team Vitality,KOI,Team Vitality,KOI,KOI,,Team Vitality,Team Vitality,Team Vitality,Team Vitality,Team Vitality,Team Vitality,Team Vitality,Team Vitality,Team Vitality,MATCH 3
Natus Vincere,Natus Vincere,Fnatic,Natus Vincere,Natus Vincere,Fnatic,Natus Vincere,Fnatic,Natus Vincere,,Natus Vincere,Natus Vincere,Natus Vincere,Natus Vincere,Natus Vincere,Natus Vincere,Natus Vincere,Natus Vincere,Natus Vincere,Natus Vincere,Fnatic,Natus Vincere,Fnatic,Natus Vincere,Natus Vincere,Natus Vincere,Natus Vincere,Natus Vincere,Fnatic,Natus Vincere,Fnatic,Natus Vincere,MATCH 4
Gentle Mates,Team Liquid,Team Liquid,Gentle Mates,Gentle Mates,Team Liquid,Gentle Mates,Team Liquid,Gentle Mates,,Gentle Mates,Gentle Mates,Gentle Mates,Gentle Mates,Team Liquid,Gentle Mates,Gentle Mates,Gentle Mates,Team Liquid,Gentle Mates,Team Liquid,Gentle Mates,Team Liquid,Team Liquid,Gentle Mates,Gentle Mates,Team Liquid,Team Liquid,Team Liquid,Gentle Mates,Gentle Mates,Gentle Mates,MATCH 5
FUT Esports,FUT Esports,FUT Esports,FUT Esports,FUT Esports,FUT Esports,FUT Esports,FUT Esports,BBL Esports,N/A,FUT Esports,FUT Esports,FUT Esports,FUT Esports,FUT Esports,FUT Esports,FUT Esports,FUT Esports,FUT Esports,FUT Esports,BBL Esports,FUT Esports,N/A,FUT Esports,FUT Esports,FUT Esports,FUT Esports,FUT Esports,FUT Esports,FUT Esports,FUT Esports,FUT Esports,MATCH 6
