bdubsz,kingfred,emperor.bolt,hailstorm_,me7a.,mreid,huntice,iloveaspas123,3nvy_z,8bitducky,tejie,tilly_7,icariuss,space_rock,VCT Predictions Bot,urjokingright,buffx4,joachjua,abyukio,4rn0d,beast6217,brycegunz,.joeyx,blurski,tyottoyt,axon319,redicendia,nitsu_,drewspark,taameme,f1ash1,coconut9832,faceneck,MatchIDs
3.464023183354757e+17,6.344629247729992e+17,8.392386180519035e+17,5.658858285139231e+17,4.02090282092331e+17,1.380418193541038e+17,3.6315646938814874e+17,6.293463343983493e+17,8.269576684889702e+17,3.910338811736883e+17,5.301158745778422e+17,4.025710146740552e+17,6.939301502947165e+17,3.355857374937088e+17,1.0886156495358527e+18,1.1259980421186397e+18,5.2431690295751475e+17,4.2785508129203814e+17,3.2060352816060826e+17,2.666889991988183e+17,4.388718328049828e+17,4.004344274755256e+17,4.79829455150252e+17,2.4938941606435226e+17,2.663745565103227e+17,4.0071308423213875e+17,3.765782810566328e+17,1.5680128844365824e+17,9.363332172906619e+17,6.08605840370434e+17,6.298267633123328e+17,7.464350962734858e+17,6.500892360572928e+17,UserIDs
Gen.G,Gen.G,Gen.G,Gen.G,Gen.G,Gen.G,Gen.G,Gen.G,Gen.G,Gen.G,T1,T1,T1,Gen.G,N/A,Gen.G,Gen.G,T1,T1,T1,T1,T1,Gen.G,Gen.G,Gen.G,Gen.G,Gen.G,Gen.G,Gen.G,Gen.G,Gen.G,Gen.G,Gen.G,MATCH 1
