kubo.san,urjokingright,kingfred,nitsu_,buffx4,space_rock,volcanic24,3nvy_z,ritsu_esports,deus_fps,8bitducky,VCT Predictions Bot,f1ash1,doodkevv,jbroz21,architect_aim,paulwall918,.joeyx,huntice,user000098,tetra8203,hailstorm_,sceptilean,m8y.y,lyclipz,kasper1852,me7a.,itsgolem,beast6217,bootlegboy,vtcla,coconut9832,tilly_7,lez7181,axon319,lustyom,jpham426,wout3rr,mreid,bdubsz,drewspark,electriccmars,redicendia,abyukio,p_ine,zyko4l,joachjua,blurski,MatchIDs
6.403690001523016e+17,1.1259980421186397e+18,6.344629247729992e+17,1.5680128844365824e+17,5.2431690295751475e+17,3.355857374937088e+17,3.961396791933665e+17,8.269576684889702e+17,7.001572336816621e+17,1.8586513048600576e+17,3.910338811736883e+17,1.0886156495358527e+18,6.298267633123328e+17,6.747238484567654e+17,9.372189658627645e+17,5.281575483903836e+17,6.120571504364093e+17,4.79829455150252e+17,3.6315646938814874e+17,8.831834677168333e+17,5.992890440016201e+17,5.658858285139231e+17,3.050297588345733e+17,5.310837853669294e+17,5.147959753244672e+17,9.227822797539246e+17,4.02090282092331e+17,8.149882612396851e+17,4.388718328049828e+17,2.5128054947643392e+17,3.392598410990715e+17,7.464350962734858e+17,4.025710146740552e+17,8.593222586890977e+17,4.0071308423213875e+17,2.663745565103227e+17,6.556315162730824e+17,3.182558820373627e+17,1.380418193541038e+17,3.464023183354757e+17,9.363332172906619e+17,6.982897545039053e+17,3.765782810566328e+17,3.2060352816060826e+17,2.9792747490010726e+17,3.159375780399022e+17,4.2785508129203814e+17,2.4938941606435226e+17,UserIDs
Team Heretics,Karmine Corp,Karmine Corp,Team Heretics,Karmine Corp,Karmine Corp,Karmine Corp,Team Heretics,Team Heretics,Karmine Corp,Karmine Corp,N/A,Team Heretics,Team Heretics,Team Heretics,Karmine Corp,Karmine Corp,Karmine Corp,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Karmine Corp,Team Heretics,Team Heretics,Karmine Corp,Team Heretics,Karmine Corp,Team Heretics,Karmine Corp,Karmine Corp,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Team Heretics,Karmine Corp,Karmine Corp,Karmine Corp,Karmine Corp,Team Heretics,Karmine Corp,Karmine Corp,Karmine Corp,MATCH 1
