bdubsz,kingfred,me7a.,hailstorm_,oimagine,8bitducky,huntice,tilly_7,_michaf,jbroz21,VCT Predictions Bot,space_rock,urjokingright,buffx4,joachjua,beast6217,blurski,tyottoyt,apollo_3176,axon319,redicendia,rstwolf11,nitsu_,drewspark,k1ilaa,icariuss,f1ash1,coconut9832,faceneck,MatchIDs
3.464023183354757e+17,6.344629247729992e+17,4.02090282092331e+17,5.658858285139231e+17,4.1473513787673805e+17,3.910338811736883e+17,3.6315646938814874e+17,4.025710146740552e+17,4.778860270513029e+17,9.372189658627645e+17,1.0886156495358527e+18,3.355857374937088e+17,1.1259980421186397e+18,5.2431690295751475e+17,4.2785508129203814e+17,4.388718328049828e+17,2.4938941606435226e+17,2.663745565103227e+17,4.340345247293768e+17,4.0071308423213875e+17,3.765782810566328e+17,7.16019426339586e+17,1.5680128844365824e+17,9.363332172906619e+17,8.269576684889702e+17,6.939301502947165e+17,6.298267633123328e+17,7.464350962734858e+17,6.500892360572928e+17,UserIDs
FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,N/A,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,MATCH 1
