solrflre,joachjua,willyy871,jc_8765,huntice,drewspark,hailstorm_,dentedd,wolfval04,f1ash1,korusumi,mreid,youth_inthe_shade,nitsu_,tilly_7,timothyou,oimagine,dyehttodptw,coconut9832,urjokingright,kayfourfour,correptius,beast6217,dwgn,taameme,redicendia,narranette,jbroz21,ponk8575,lyclipz,kingfred,el_bello,frmdaheights,axon319,bdubsz,p_ine,tyottoyt,turtlepita,VCT Predictions Bot,kaorukoo_,itsgolem,thattree,blurski,8bitducky,MatchIDs
6.22602960500949e+17,4.2785508129203814e+17,4.903440719659664e+17,4.170636625665065e+17,3.6315646938814874e+17,9.363332172906619e+17,5.658858285139231e+17,6.226071347265536e+17,7.16019426339586e+17,6.298267633123328e+17,2.4520434984681472e+17,1.380418193541038e+17,5.721268843477729e+17,1.5680128844365824e+17,4.025710146740552e+17,6.237018097557176e+17,4.1473513787673805e+17,6.274832338687099e+17,7.464350962734858e+17,1.1259980421186397e+18,5.831699823770993e+17,8.726433737255158e+17,4.388718328049828e+17,4.173150758634783e+17,6.08605840370434e+17,3.765782810566328e+17,4.8443485050660454e+17,9.372189658627645e+17,8.57826227352109e+17,5.147959753244672e+17,6.344629247729992e+17,4.646545734083543e+17,8.269576684889702e+17,4.0071308423213875e+17,3.464023183354757e+17,2.9792747490010726e+17,2.663745565103227e+17,7.245999558342738e+17,1.0886156495358527e+18,6.403690001523016e+17,8.149882612396851e+17,5.654511183400796e+17,2.4938941606435226e+17,3.910338811736883e+17,UserIDs
G2 Esports,G2 Esports,Sentinels,G2 Esports,G2 Esports,Sentinels,Sentinels,Sentinels,G2 Esports,G2 Esports,Sentinels,Sentinels,Sentinels,G2 Esports,G2 Esports,G2 Esports,Sentinels,G2 Esports,G2 Esports,Sentinels,G2 Esports,G2 Esports,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,G2 Esports,Sentinels,G2 Esports,Sentinels,G2 Esports,G2 Esports,G2 Esports,G2 Esports,Sentinels,G2 Esports,N/A,Sentinels,Sentinels,G2 Esports,G2 Esports,G2 Esports,MATCH 1
