_novie,boykisser4,bubbles999x,urjokingright,kingfred,buffx4,nitsu_,space_rock,.frixion,3nvy_z,ritsu_esports,deus_fps,raiden0000,taameme,8bitducky,VCT Predictions Bot,f1ash1,doodkevv,jbroz21,architect_aim,paulwall918,.joeyx,huntice,user000098,tetra8203,hailstorm_,m8y.y,lyclipz,itsgolem,beast6217,coconut9832,vtcla,rvyy_17,buildabear.,tilly_7,lez7181,hiddenuser,axon319,victoryxh,lustyom,jpham426,mreid,drewspark,electriccmars,timothyou,bdubsz,anshypanshy,aasimq,wxllylul,samurai4,redicendia,abyukio,zyko4l,p_ine,joachjua,blurski,4rn0d,MatchIDs
2.9098048832641434e+17,8.190170181666079e+17,7.117605624422072e+17,1.1259980421186397e+18,6.344629247729992e+17,5.2431690295751475e+17,1.5680128844365824e+17,3.355857374937088e+17,2.7237060602298368e+17,8.269576684889702e+17,7.001572336816621e+17,1.8586513048600576e+17,2.7941749880861494e+17,6.08605840370434e+17,3.910338811736883e+17,1.0886156495358527e+18,6.298267633123328e+17,6.747238484567654e+17,9.372189658627645e+17,5.281575483903836e+17,6.120571504364093e+17,4.79829455150252e+17,3.6315646938814874e+17,8.831834677168333e+17,5.992890440016201e+17,5.658858285139231e+17,5.310837853669294e+17,5.147959753244672e+17,8.149882612396851e+17,4.388718328049828e+17,7.464350962734858e+17,3.392598410990715e+17,5.075484318546002e+17,9.374811284938506e+17,4.025710146740552e+17,8.593222586890977e+17,4.3569398917863834e+17,4.0071308423213875e+17,6.340388539545682e+17,2.663745565103227e+17,6.556315162730824e+17,1.380418193541038e+17,9.363332172906619e+17,6.982897545039053e+17,6.237018097557176e+17,3.464023183354757e+17,7.07119629176144e+17,7.457312513857946e+17,4.3734280592542925e+17,3.412332807520256e+17,3.765782810566328e+17,3.2060352816060826e+17,3.159375780399022e+17,2.9792747490010726e+17,4.2785508129203814e+17,2.4938941606435226e+17,2.666889991988183e+17,UserIDs
Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,N/A,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Paper Rex,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Paper Rex,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Paper Rex,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,MATCH 1
