_novie,kubo.san,urjokingright,kingfred,vvvfv8117,buffx4,space_rock,nitsu_,3nvy_z,ritsu_esports,why_aaryan,deus_fps,raiden0000,taameme,8bitducky,VCT Predictions Bot,f1ash1,doodkevv,jbroz21,architect_aim,paulwall918,.joeyx,huntice,daydlino,tetra8203,hailstorm_,xslqme,lyclipz,me7a.,itsgolem,beast6217,coconut9832,rvyy_17,tilly_7,lez7181,hiddenuser,axon319,victoryxh,lustyom,jpham426,heddyboii,mreid,vainfriggus,bdubsz,drewspark,moraro,timothyou,electriccmars,wxllylul,aasimq,redicendia,abyukio,zyko4l,p_ine,joachjua,blurski,faceneck,MatchIDs
2.9098048832641434e+17,6.403690001523016e+17,1.1259980421186397e+18,6.344629247729992e+17,1.1313999818032498e+18,5.2431690295751475e+17,3.355857374937088e+17,1.5680128844365824e+17,8.269576684889702e+17,7.001572336816621e+17,3.0456085432028365e+17,1.8586513048600576e+17,2.7941749880861494e+17,6.08605840370434e+17,3.910338811736883e+17,1.0886156495358527e+18,6.298267633123328e+17,6.747238484567654e+17,9.372189658627645e+17,5.281575483903836e+17,6.120571504364093e+17,4.79829455150252e+17,3.6315646938814874e+17,7.562423375370651e+17,5.992890440016201e+17,5.658858285139231e+17,6.220866985699574e+17,5.147959753244672e+17,4.02090282092331e+17,8.149882612396851e+17,4.388718328049828e+17,7.464350962734858e+17,5.075484318546002e+17,4.025710146740552e+17,8.593222586890977e+17,4.3569398917863834e+17,4.0071308423213875e+17,6.340388539545682e+17,2.663745565103227e+17,6.556315162730824e+17,5.272304088243241e+17,1.380418193541038e+17,5.102425281429504e+17,3.464023183354757e+17,9.363332172906619e+17,4.702020774157353e+17,6.237018097557176e+17,6.982897545039053e+17,4.3734280592542925e+17,7.457312513857946e+17,3.765782810566328e+17,3.2060352816060826e+17,3.159375780399022e+17,2.9792747490010726e+17,4.2785508129203814e+17,2.4938941606435226e+17,6.500892360572928e+17,UserIDs
Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Gen.G,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,N/A,Gen.G,N/A,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Gen.G,Gen.G,Sentinels,Sentinels,Sentinels,Gen.G,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Gen.G,Gen.G,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Gen.G,Sentinels,Gen.G,Sentinels,Sentinels,Gen.G,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,Sentinels,MATCH 1
